beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Kosmos,Põhjala,"IPA - New England / Hazy",5.5,25,,,,,,,,3.25,"2023-01-30 17:33:53",https://api.untappd.com/c/1244091543,https://api.untappd.com/beer/3113282,https://api.untappd.com/brewery/54434,Estonia,Tallinn,"Harju maakond","fruity,herbal",,Can,1244091543,3113282,54434,https://untappd.s3.amazonaws.com/photos/2023_01_30/e3ef1a822992635cc6de43456a00b3c7_raw.jpg,3.64,3.64,"Stefan Jansen,Marcel van Heerdt,Kevin Schomper,Erik Evers",2,0
Suvila,Põhjala,"IPA - Session",3.8,25,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.5,"2023-02-03 16:18:43",https://api.untappd.com/c/1244710938,https://api.untappd.com/beer/4268758,https://api.untappd.com/brewery/54434,Estonia,Tallinn,"Harju maakond","light bodied,hoppy",,Can,1244710938,4268758,54434,https://untappd.s3.amazonaws.com/photos/2023_02_03/337365afd0ad2d06b31fa735f85fccc5_raw.jpg,3.59,3.59,"Kevin Schomper,Stefan Jansen,Marcel van Heerdt,Roy van den Berg,Raymond Hildering,Albert Veldman",2,0
Õhtu,Põhjala,"Porter - American",5.5,40,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.75,"2023-02-03 16:57:31",https://api.untappd.com/c/1244717816,https://api.untappd.com/beer/2931152,https://api.untappd.com/brewery/54434,Estonia,Tallinn,"Harju maakond","coffee,chocolate",,Can,1244717816,2931152,54434,https://untappd.s3.amazonaws.com/photos/2023_02_03/a0406362fe1a081d6c144a312df2dcaf_raw.jpg,3.55,3.55,"Kevin Schomper,Stefan Jansen,Marcel van Heerdt,Raymond Hildering,Albert Veldman,Erik Evers",2,0
"Oude Kriek Boon","Brouwerij Boon","Lambic - Kriek",6.5,12,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,4,"2023-02-03 17:12:58",https://api.untappd.com/c/1244721235,https://api.untappd.com/beer/157085,https://api.untappd.com/brewery/268,Belgium,Halle,"Vlaams Gewest","sour,fruity,tart,musty",,Bottle,1244721235,157085,268,https://untappd.s3.amazonaws.com/photos/2023_02_03/ce7fd9300f9da63a2c8d0021a60b1ebe_raw.jpg,3.66,3.66,"Kevin Schomper,Stefan Jansen,Marcel van Heerdt,Raymond Hildering,Erik Evers,Roy van den Berg",2,0
Mus,"Bird Brewery","Stout - Russian Imperial",9.5,55,"Ik houd van vogeltjes ze zijn leuk",,,,,,,3.5,"2023-02-03 17:44:30",https://api.untappd.com/c/1244729826,https://api.untappd.com/beer/5128633,https://api.untappd.com/brewery/246149,Netherlands,Diemen,Noord-Holland,"bitter,coffee,boozy",,,1244729826,5128633,246149,https://untappd.s3.amazonaws.com/photos/2023_02_03/b8ace53f125a20d0703dea9c99a17b67_raw.jpg,3.57,3.6,"Kevin Schomper,Stefan Jansen,Marcel van Heerdt,Roy van den Berg,Raymond Hildering,Erik Evers",2,0
Extremus,"Bird Brewery","Stout - Russian Imperial",9.5,55,"Deze mus smaakt wel ergens naar",Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.5,"2023-02-03 21:04:54",https://api.untappd.com/c/1244824821,https://api.untappd.com/beer/5128640,https://api.untappd.com/brewery/246149,Netherlands,Diemen,Noord-Holland,"sweet,maple,boozy",,Can,1244824821,5128640,246149,https://untappd.s3.amazonaws.com/photos/2023_02_03/e2ab47a6532d51d9001cadacf486f76f_raw.jpg,3.71,3.71,"Kevin Schomper,Stefan Jansen,Marcel van Heerdt,Roy van den Berg,Raymond Hildering,Erik Evers",2,0
"Crank the Juice","Moersleutel Craft Brewery","IPA - New England / Hazy",5.5,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.75,"2023-02-05 19:57:10",https://api.untappd.com/c/1245731687,https://api.untappd.com/beer/4174918,https://api.untappd.com/brewery/269726,Netherlands,Alkmaar,Noord-Holland,"juicy,pineapple,tropical",,Can,1245731687,4174918,269726,https://untappd.s3.amazonaws.com/photos/2023_02_05/9014e68f42259bde11928297e293ceba_raw.jpg,3.77,3.77,,2,0
"Crank Crank the Juice Juice","Moersleutel Craft Brewery","IPA - Imperial / Double New England / Hazy",8,35,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.75,"2023-02-05 22:01:34",https://api.untappd.com/c/1245786241,https://api.untappd.com/beer/4980988,https://api.untappd.com/brewery/269726,Netherlands,Alkmaar,Noord-Holland,"tropical,fruity,pineapple",,Bottle,1245786241,4980988,269726,https://untappd.s3.amazonaws.com/photos/2023_02_05/e86ab6d77d38458ddcc78c19bf137fa4_raw.jpg,3.96,3.95,,2,0
DairyFreak,"Magic Rock Brewing","Porter - English",5.2,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.25,"2023-02-10 17:56:11",https://api.untappd.com/c/1246589511,https://api.untappd.com/beer/4619699,https://api.untappd.com/brewery/13156,England,Huddersfield,"West Yorkshire","milk,watery",,Can,1246589511,4619699,13156,,3.76,3.76,"Kevin Schomper,Stefan Jansen,Marcel van Heerdt,Roy van den Berg,Albert Veldman",2,0
DairyFreak,"Magic Rock Brewing","Porter - English",5.2,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.25,"2023-02-10 17:56:11",https://api.untappd.com/c/1246589511,https://api.untappd.com/beer/4619699,https://api.untappd.com/brewery/13156,England,Huddersfield,"West Yorkshire","milk,watery",,Can,1246589511,4619699,13156,https://untappd.s3.amazonaws.com/photos/2023_02_10/e0afc975ef1822378829b240d5dc8c5f_raw.jpg,3.76,3.76,"Kevin Schomper,Stefan Jansen,Marcel van Heerdt,Roy van den Berg,Albert Veldman",2,0
